Transaction ID,Product name,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Reseller ID
33,5x7 Merry Christmas from Hannover,2,6.2,mobile app,Gloria,Meador,Gloria.Meador@example.com,Hannover,2020-01-06,1004
34,6x11 Come visit me in Lvov,4,9.2,mobile app,Joann,Hugo,Joann.Hugo@example.com,Lvov,2020-01-06,1004
35,6x9 Merry Christmas from Milano (Milan),1,3.3,mobile app,Jenee,Causey,Jenee.Causey@example.com,Milano (Milan),2020-01-06,1004
36,5x7 Greetings from Novosibirsk,3,4.800000000000001,mobile app,Sheila,Yazzie,Sheila.Yazzie@example.com,Novosibirsk,2020-01-06,1004
37,6x11 Merry Christmas from Ufa,5,8.5,web,Howard,Cummings,Howard.Cummings@example.com,Ufa,2020-01-06,1004
38,5.5x8.5 Come visit me in Mykolaiv ,3,12.299999999999999,web,Lawrence,Beals,Lawrence.Beals@example.com,Mykolaiv ,2020-01-06,1004
39,6x11 Come visit me in Warszawa (Warsaw),2,4.0,web,Robin,Holder,Robin.Holder@example.com,Warszawa (Warsaw),2020-01-06,1004
40,5.5x8.5 Just settled in Krasnoyarsk,3,9.899999999999999,mobile app,Henry,Barden,Henry.Barden@example.com,Krasnoyarsk,2020-01-06,1004
41,4x6 Merry Christmas from Wien (Vienna),4,14.0,mobile app,Patricia,Lanier,Patricia.Lanier@example.com,Wien (Vienna),2020-01-06,1004
42,5x7 Merry Christmas from London,4,14.0,web,Dexter,Halls,Dexter.Halls@example.com,London,2020-01-06,1004
43,5x7 All the love from Mykolaiv ,2,3.4,web,Matthew,Beach,Matthew.Beach@example.com,Mykolaiv ,2020-01-06,1004
44,5x7 Greetings from Novokuznetsk,6,18.0,web,Aurelia,Mainella,Aurelia.Mainella@example.com,Novokuznetsk,2020-01-06,1004
