Transaction ID,Product name,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Reseller ID
60,5.5x8.5 Come visit me in Zaragoza,1,3.9,mobile app,Robin,Irby,Robin.Irby@example.com,Zaragoza,2020-01-10,1004
61,6x11 Just settled in Helsinki,5,9.5,web,Louis,Luff,Louis.Luff@example.com,Helsinki,2020-01-10,1004
62,5.5x8.5 All the love from Krasnoyarsk,5,14.5,web,Sophia,Price,Sophia.Price@example.com,Krasnoyarsk,2020-01-10,1004
63,5x7 All the love from Irkutsk,3,11.100000000000001,web,Sharon,Acheson,Sharon.Acheson@example.com,Irkutsk,2020-01-10,1004
64,5.5x8.5 Merry Christmas from Ekaterinoburg,3,12.600000000000001,in-store,Charles,Murphy,Charles.Murphy@example.com,Ekaterinoburg,2020-01-10,1004
65,4.25x6 All the love from Essen,4,11.6,in-store,Gloria,Causey,Gloria.Causey@example.com,Essen,2020-01-10,1004
66,5x7 Just settled in Salonika,6,14.399999999999999,mobile app,Billy,Snell,Billy.Snell@example.com,Salonika,2020-01-10,1004
67,6x9 Just settled in Chelyabinsk,3,12.299999999999999,web,Eugene,Horton,Eugene.Horton@example.com,Chelyabinsk,2020-01-10,1004
68,6x11 Come visit me in Sarajevo,1,4.2,mobile app,David,Dunn,David.Dunn@example.com,Sarajevo,2020-01-10,1004
69,4.25x6 Just settled in Lódz,6,19.799999999999997,mobile app,Judy,Russell,Judy.Russell@example.com,Lódz,2020-01-10,1004
